Date,Susceptible,Confirmed,Fatal,Recovered
05-04-2020,1352613412,3588,99,229
06-04-2020,1352612039,4778,136,375
07-04-2020,1352611446,5311,150,421
08-04-2020,1352610728,5916,178,506
09-04-2020,1352609757,6725,226,620
10-04-2020,1352608710,7598,246,774
11-04-2020,1352607625,8446,288,969
12-04-2020,1352606712,9205,331,1080
13-04-2020,1352605336,10453,358,1181
14-04-2020,1352604089,11487,393,1359
15-04-2020,1352603169,12322,405,1432
16-04-2020,1352601682,13430,448,1768
17-04-2020,1352600449,14352,486,2041
18-04-2020,1352598622,15722,521,2463
19-04-2020,1352596300,17615,559,2854
20-04-2020,1352594924,18539,592,3273
21-04-2020,1352592628,20080,645,3975
22-04-2020,1352590907,21370,681,4370
23-04-2020,1352588518,23077,721,5012
24-04-2020,1352586520,24530,780,5498
25-04-2020,1352584281,26283,825,5939
26-04-2020,1352582034,27890,881,6523
27-04-2020,1352579801,29451,939,7137
28-04-2020,1352577249,31324,1008,7747
29-04-2020,1352574750,33062,1079,8437
30-04-2020,1352572243,34863,1154,9068
01-05-2020,1352568841,37257,1223,10007
02-05-2020,1352565487,39699,1323,10819
03-05-2020,1352561657,42505,1391,11775
04-05-2020,1352556478,46437,1566,12847
05-05-2020,1352552093,49400,1693,14142
06-05-2020,1352547225,52987,1785,15331
07-05-2020,1352542312,56351,1889,16776
08-05-2020,1352537761,59695,1985,17887
09-05-2020,1352533118,62808,2101,19301
10-05-2020,1352526986,67161,2212,20969
11-05-2020,1352521717,70768,2294,22549
12-05-2020,1352516201,74292,2415,24420
13-05-2020,1352510322,78055,2551,26400
14-05-2020,1352504713,81997,2649,27969
15-05-2020,1352498533,85784,2753,30258
16-05-2020,1352489585,90648,2871,34224
17-05-2020,1352481810,95698,3025,36795
18-05-2020,1352474611,100328,3156,39233
19-05-2020,1352465242,106475,3302,42309
20-05-2020,1352456444,112028,3434,45422
21-05-2020,1352446965,118226,3584,48553
22-05-2020,1352436984,124794,3726,51824
23-05-2020,1352427652,131423,3868,54385
24-05-2020,1352417076,138536,4024,57692
25-05-2020,1352407500,144950,4172,60706
26-05-2020,1352397914,150793,4344,64277
27-05-2020,1352386959,158086,4534,67749
28-05-2020,1352376311,165386,4711,70920
29-05-2020,1352356230,173491,4980,82627
30-05-2020,1352343380,181827,5185,86936
31-05-2020,1352329459,190609,5408,91852
01-06-2020,1352317596,198370,5608,95754
02-06-2020,1352304023,207191,5829,100285
03-06-2020,1352290345,216824,6088,104071
04-06-2020,1352275802,226713,6363,108450
05-06-2020,1352261262,236184,6649,113233
06-06-2020,1352245065,246622,6946,118695
07-06-2020,1352228787,257486,7207,123848
08-06-2020,1352214832,265928,7473,129095
09-06-2020,1352198762,276146,7750,134670
10-06-2020,1352187415,286605,8102,135206
